岗位名称,类别,职位名称,所属地,专业学科,学历要求,岗位描述
,正式,HRBP,济南市,人力资源管理,本科及以上,招聘要求：1. 专业不限，本科及以上学历；2.至少3年以上智能制造和机械相关行业招聘模块招聘开发经验；3.熟悉各大招聘渠道的开拓与维护，有主动寻找候选人的能力；4.具备快速反馈、交付的能力。
Java开发岗位,正式,Java开发工程师,济南市,计算机类,本科及以上,任职要求：1、本科及以上学历，计算机相关专业。2、有JAVA语言基础，熟悉Sping/SpingMAC/hibernate/ibatis等。3、具有良好抗压能力、学习能力和团队协作能力。
,正式,Java开发工程师,济南市,计算机科学与技术,本科及以上,任职要求：1、本科及以上学历，计算机相关专业。2、有JAVA语言基础，熟悉Sping/SpingMAC/hibernate/ibatis等。3、具有良好抗压能力、学习能力和团队协作能力。
,正式,Java开发工程师,济南市,软件工程,本科及以上,任职要求：1、本科及以上学历，计算机相关专业。2、有JAVA语言基础，熟悉Sping/SpingMAC/hibernate/ibatis等。3、具有良好抗压能力、学习能力和团队协作能力。
,正式,Java开发工程师,济南市,网络工程,本科及以上,任职要求：1、本科及以上学历，计算机相关专业。2、有JAVA语言基础，熟悉Sping/SpingMAC/hibernate/ibatis等。3、具有良好抗压能力、学习能力和团队协作能力。
,正式,Java开发工程师,济南市,物联网工程,本科及以上,任职要求：1、本科及以上学历，计算机相关专业。2、有JAVA语言基础，熟悉Sping/SpingMAC/hibernate/ibatis等。3、具有良好抗压能力、学习能力和团队协作能力。
产品绘图员,正式,工程/机械绘图员,济南市 临沂市,机械类,本科及以上,技能要求：AutoCAD，Solidworks
,正式,工程/机械绘图员,济南市 临沂市,机械工程,本科及以上,技能要求：AutoCAD，Solidworks
,正式,工程/机械绘图员,济南市 临沂市,机械设计制造及其自动化,本科及以上,技能要求：AutoCAD，Solidworks
,正式,工程/机械绘图员,济南市 临沂市,材料成型及控制工程,本科及以上,技能要求：AutoCAD，Solidworks
国内销售业务员,正式,销售代表,全国,工商管理,本科及以上,-
,正式,销售代表,全国,市场营销,本科及以上,-
,正式,销售代表,全国,国际商务,本科及以上,-
外贸业务员-市中区,正式,销售助理,济南市,英语,本科及以上,任职要求1.基本要求●品行端正；●本科以上学历，国际贸易、英语、市场营销专业优先；●英语四级以上，六级、专业八级或BEC中级优先。2.专业技能要求●普通话标准；●具备熟练的英语听说读写以及表达沟通能力；●熟练应用常用办公软件；●熟悉国际贸易理论与实务等基本知识
,正式,销售助理,济南市,商务英语,本科及以上,任职要求1.基本要求●品行端正；●本科以上学历，国际贸易、英语、市场营销专业优先；●英语四级以上，六级、专业八级或BEC中级优先。2.专业技能要求●普通话标准；●具备熟练的英语听说读写以及表达沟通能力；●熟练应用常用办公软件；●熟悉国际贸易理论与实务等基本知识
,正式,销售助理,济南市,工商管理,本科及以上,任职要求1.基本要求●品行端正；●本科以上学历，国际贸易、英语、市场营销专业优先；●英语四级以上，六级、专业八级或BEC中级优先。2.专业技能要求●普通话标准；●具备熟练的英语听说读写以及表达沟通能力；●熟练应用常用办公软件；●熟悉国际贸易理论与实务等基本知识
,正式,销售助理,济南市,市场营销,本科及以上,任职要求1.基本要求●品行端正；●本科以上学历，国际贸易、英语、市场营销专业优先；●英语四级以上，六级、专业八级或BEC中级优先。2.专业技能要求●普通话标准；●具备熟练的英语听说读写以及表达沟通能力；●熟练应用常用办公软件；●熟悉国际贸易理论与实务等基本知识
,正式,销售助理,济南市,国际商务,本科及以上,任职要求1.基本要求●品行端正；●本科以上学历，国际贸易、英语、市场营销专业优先；●英语四级以上，六级、专业八级或BEC中级优先。2.专业技能要求●普通话标准；●具备熟练的英语听说读写以及表达沟通能力；●熟练应用常用办公软件；●熟悉国际贸易理论与实务等基本知识
铸造加工工艺设计员,正式,铸造/锻造工程师/技师,济南市 临沂市,机械工程,本科及以上,岗位要求：1.品行端正；2.年龄35岁以下；3.本科及以上学历，机械类、材料类相关专业优先；4.熟练应用办公软件。
,正式,铸造/锻造工程师/技师,济南市 临沂市,机械设计制造及其自动化,本科及以上,岗位要求：1.品行端正；2.年龄35岁以下；3.本科及以上学历，机械类、材料类相关专业优先；4.熟练应用办公软件。
,正式,铸造/锻造工程师/技师,济南市 临沂市,材料成型及控制工程,本科及以上,岗位要求：1.品行端正；2.年龄35岁以下；3.本科及以上学历，机械类、材料类相关专业优先；4.熟练应用办公软件。
,正式,铸造/锻造工程师/技师,济南市 临沂市,机械电子工程,本科及以上,岗位要求：1.品行端正；2.年龄35岁以下；3.本科及以上学历，机械类、材料类相关专业优先；4.熟练应用办公软件。
业务助理,正式,贸易/外贸专员/助理,济南市,经济与贸易类,本科及以上,岗位要求：1、本科及以上学历；2、熟悉使用各种办公软件；3、性格活泼开朗，具备良好的沟通能力。
,正式,贸易/外贸专员/助理,济南市,国际经济与贸易,本科及以上,岗位要求：1、本科及以上学历；2、熟悉使用各种办公软件；3、性格活泼开朗，具备良好的沟通能力。
,正式,贸易/外贸专员/助理,济南市,贸易经济,本科及以上,岗位要求：1、本科及以上学历；2、熟悉使用各种办公软件；3、性格活泼开朗，具备良好的沟通能力。
外贸业务助理,正式,业务跟单,济南,不限专业,本科及以上,"任职要求：1、公立大学统招本科学历，专业不限，国际经济与贸易及英语相关专业优先；2、英语水平，四级及以上；3、工作细心，认真负责，具备良好的沟通能力；4、踏实肯干,虚心学习，喜欢从事业务工作；5、有长期在济南工作并长期在济南发展的打算。"
电商运营,正式,贸易/进出口,济南市,不限专业,本科及以上,1.公立大学统招本科，英语四级及以上；2.良好的英语书写能力和学习能力；良好的数据分析能力；3.阿里巴巴国际站运营经验；4.踏实仔细认真，学习能力强，有上进心
前端开发实习生（可转正）,实习,Web前端开发,济南市,不限专业,本科及以上,"岗位要求：	1.2024应届毕业，学校要求本科院校，计算机软件相关专业；	2.具备钻研精神，能够保持学习新技术的热情。	3.具备良好的表达能力和较强的承压能力。	4.具有认真负责的专业素养、积极主动的工作态度、有独立分析和解决问题的能力，以及良好的学习能力和团队合作精神。技术要求：	1.熟练掌握HTML CSS JS等web端开发技术、Vue3开发框架和element-ui等组件库，能够实现前后端数据交互流程；	2.熟练掌握Python语言，具有pandas、numpy等python基本库使用经验的优先；	3.熟悉Linux操作系统，能够操作日常命令；"
图数据库开发实习生（可转正）,实习,数据挖掘,济南市,不限专业,本科及以上,"	1、本科学历，计算机相关专业。	2、熟悉Linux操作系统及相关命令操作，具备shell脚本的编写能力。	3、熟悉oracle、mysql等关系型数据库开发，具备基本的增、删、改、查能力以及SQL语句编写能力，具备使用图数据库能力的优先。	4、熟悉python语言，具备python脚本的编写能力5、熟练编写相关需求文档，熟悉使用Visio,PPT,Word,Excel等软件。"
智能平台运维实习生（可转正）,实习,自动化运维工程师,济南市,不限专业,本科及以上,"岗位要求：	1.2024应届毕业，学校要求本科院校，计算机软件相关专业；	2.具备钻研精神，能够保持学习新技术的热情。	3.具备良好的表达能力和较强的承压能力。	4.具有认真负责的专业素养、积极主动的工作态度、有独立分析和解决问题的能力，以及良好的学习能力和团队合作精神。技术要求：	1.具备数理统计、SQL数据库原理相关知识；精通SQL语法，数量操作mysql数据库，	2.至少掌握C、Java、PHP、Python、Go等其中一门语言，有一定的错误代码排查能力；	3.掌握Redis、Docker、Linux操作系统；4.熟悉hadoop相关技术(hdfs、hive、kafka、spark、flink、zookeeper、yarn等) 优先。"
算法实习生（可转正）,实习,深度学习工程师,济南市,不限专业,本科及以上,"	1、24届人工智能专业；数学专业；大数据专业；计算机软件工程专业；"
销售实习生（可转正）,实习,大客户销售,济南市,不限专业,本科及以上,"	1、24届全日制本科及以上学历，通信行业、计算机相关专业优先；	2、良好的学习能力、沟通能力、独立工作能力及较强的工作责任心，抗压能力强；	3、服从工作安排，适应全国出差。"
管培生,正式,储备干部培训生,山东省 济南市,市场营销,本科及以上,1、电子商务类、营销类、人力资源类、食品工程类、动物营养/医学类专业优先2、较强的思考力、创新力和逻辑思维能力，良好的沟通协调能力3、愿意接受挑战并承受工作压力4、自驱、精进、皮实、靠谱 
,正式,储备干部培训生,山东省 济南市,人力资源管理,本科及以上,1、电子商务类、营销类、人力资源类、食品工程类、动物营养/医学类专业优先2、较强的思考力、创新力和逻辑思维能力，良好的沟通协调能力3、愿意接受挑战并承受工作压力4、自驱、精进、皮实、靠谱 
市场业务精英,正式,市场推广,山东省 济南市,不限专业,大专及以上,期待的你：（1）专科及以上学历，专业不限，社交/运动达人，沟通一流，颜值爆表（自信的颜值最高）；（2）学生干部、社团/学院活动组织策划经验丰富者，有自己的特长，能歌善舞是最好。
电商运营新星,正式,售前咨询,山东省 济南市,不限专业,大专及以上,期待的你：（1）专科及以上学历，专业不限，沟通一流，学生干部、社会实践/实习经验丰富者（恋爱&amp;王者荣耀经验不算）；（2）业务部门的贴心搭档，吃苦耐劳，服务意识强，条理清晰，客户大大的任何问题都能处理的游刃有余。 
终端设计新星,正式,橱柜设计,山东省 济南市,设计学类,大专及以上,期待的你：（1）本科及以上学历，家具设计、室内设计、园林设计、环境艺术设计、产品设计等设计类相关专业；（2）超一流的沟通能力，将欧派设计理念及产品完美的传递给终端客户。
,正式,橱柜设计,山东省 济南市,艺术设计学,大专及以上,期待的你：（1）本科及以上学历，家具设计、室内设计、园林设计、环境艺术设计、产品设计等设计类相关专业；（2）超一流的沟通能力，将欧派设计理念及产品完美的传递给终端客户。
,正式,橱柜设计,山东省 济南市,环境设计,大专及以上,期待的你：（1）本科及以上学历，家具设计、室内设计、园林设计、环境艺术设计、产品设计等设计类相关专业；（2）超一流的沟通能力，将欧派设计理念及产品完美的传递给终端客户。
,正式,橱柜设计,山东省 济南市,产品设计,大专及以上,期待的你：（1）本科及以上学历，家具设计、室内设计、园林设计、环境艺术设计、产品设计等设计类相关专业；（2）超一流的沟通能力，将欧派设计理念及产品完美的传递给终端客户。
终端零售精英,正式,销售专员,山东省 济南市,不限专业,大专及以上,期待的你：（1）专科及以上学历，专业不限，社交/运动达人，沟通一流，颜值爆表（自信的颜值最高）；（2）学生干部、小打小闹自主创业者、社会实践/实习经验丰富者（恋爱&amp;王者荣耀、吃鸡经验不算）；（3）性格开朗，思路敏捷，对零售岗位有浓厚兴趣，并愿为之拼搏。
教育顾问,实习,专业顾问,山东省 济南市,电子信息工程,硕士及以上,1、学历：在读研究生或已毕业研究生，具有计算机学科背景优先；2、语言能力：具备良好的沟通能力和语言表达能力，能够流利地使用普通话；3、学术成就：对于考研有深入了解和研究，有相关经验或成果者优先考虑；4、责任心和服务意识：热爱教育事业，有强烈的责任心和服务意识，能够尽心尽力为学生解决问题。
,实习,专业顾问,山东省 济南市,计算机科学与技术,硕士及以上,1、学历：在读研究生或已毕业研究生，具有计算机学科背景优先；2、语言能力：具备良好的沟通能力和语言表达能力，能够流利地使用普通话；3、学术成就：对于考研有深入了解和研究，有相关经验或成果者优先考虑；4、责任心和服务意识：热爱教育事业，有强烈的责任心和服务意识，能够尽心尽力为学生解决问题。
校园策划,实习,培训策划,山东省 济南市,视觉传达设计,本科及以上,1、具备良好的策划、广告设计能力和团队合作精神；2、善于沟通协调，有创新思维；3、对广告行业有浓厚兴趣，有相关经验者优先。
,实习,培训策划,山东省 济南市,环境设计,本科及以上,1、具备良好的策划、广告设计能力和团队合作精神；2、善于沟通协调，有创新思维；3、对广告行业有浓厚兴趣，有相关经验者优先。
,实习,培训策划,山东省 济南市,产品设计,本科及以上,1、具备良好的策划、广告设计能力和团队合作精神；2、善于沟通协调，有创新思维；3、对广告行业有浓厚兴趣，有相关经验者优先。
设备类相关岗位,正式,机械工程,济南市,机械工程,本科及以上,"1.本科学历,机械类、电气类相关专业
2.思想品德好，有责任心；
3.具有团队精神和创新精神，学习能力强。"
,正式,机械设计制造及其自动化,济南市,机械设计制造及其自动化,本科及以上,"1.本科学历,机械类、电气类相关专业
2.思想品德好，有责任心；
3.具有团队精神和创新精神，学习能力强。"
国际售后工程师,正式,售前/售后技术支持工程师,济南市,自动化,本科及以上,任职要求：1、本科及以上学历，机械设计制造及自动化、自动化相关专业2、熟悉机械、电气相关专业知识3、具备良好的沟通表达能力及学习能力4、英语可简单沟通 ，可适应国外出差
,正式,售前/售后技术支持工程师,济南市,电气工程及其自动化,本科及以上,任职要求：1、本科及以上学历，机械设计制造及自动化、自动化相关专业2、熟悉机械、电气相关专业知识3、具备良好的沟通表达能力及学习能力4、英语可简单沟通 ，可适应国外出差
,正式,售前/售后技术支持工程师,济南市,机械设计制造及其自动化,本科及以上,任职要求：1、本科及以上学历，机械设计制造及自动化、自动化相关专业2、熟悉机械、电气相关专业知识3、具备良好的沟通表达能力及学习能力4、英语可简单沟通 ，可适应国外出差
,正式,售前/售后技术支持工程师,济南市,材料成型及控制工程,本科及以上,任职要求：1、本科及以上学历，机械设计制造及自动化、自动化相关专业2、熟悉机械、电气相关专业知识3、具备良好的沟通表达能力及学习能力4、英语可简单沟通 ，可适应国外出差
外贸业务员,正式,贸易/外贸专员/助理,济南市,英语,本科及以上,1、本科及以上学历，国际贸易、英语、小语种、机械相关专业，英语四级（含四级）以上2、了解国际贸易知识以及相关产品出口知识3、良好的沟通能力，熟练与外商沟通，独立完成接单、跟单等工作4、熟练操作办公软件及网络销售平台
,正式,贸易/外贸专员/助理,济南市,国际经济与贸易,本科及以上,1、本科及以上学历，国际贸易、英语、小语种、机械相关专业，英语四级（含四级）以上2、了解国际贸易知识以及相关产品出口知识3、良好的沟通能力，熟练与外商沟通，独立完成接单、跟单等工作4、熟练操作办公软件及网络销售平台
机械工程师,正式,机械工程师,济南市,机械制造与自动化,本科及以上,1、本科及以上学历、机械制造、自动化、电气专业优先2、热爱机械数控相关行业3、机械相关基础知识，能熟练的使用绘图软件
,正式,机械工程师,济南市,机械工程,本科及以上,1、本科及以上学历、机械制造、自动化、电气专业优先2、热爱机械数控相关行业3、机械相关基础知识，能熟练的使用绘图软件
,正式,机械工程师,济南市,机械设计制造及其自动化,本科及以上,1、本科及以上学历、机械制造、自动化、电气专业优先2、热爱机械数控相关行业3、机械相关基础知识，能熟练的使用绘图软件
,正式,机械工程师,济南市,材料成型及控制工程,本科及以上,1、本科及以上学历、机械制造、自动化、电气专业优先2、热爱机械数控相关行业3、机械相关基础知识，能熟练的使用绘图软件
电气工程师,正式,技术研发工程师,济南市,电气工程及其自动化,本科及以上,1、本科及以上学历，电气工程及自动化、自动化等专业优先2、专业成绩优先、热爱机械数控相关行业
,正式,技术研发工程师,济南市,自动化,本科及以上,1、本科及以上学历，电气工程及自动化、自动化等专业优先2、专业成绩优先、热爱机械数控相关行业
土木工程毕业生,正式,公路/桥梁/港口/隧道工程,济南市,土木工程,不限,土木工程，道路桥梁与渡河工程等专业
,正式,公路/桥梁/港口/隧道工程,济南市,交通工程,不限,土木工程，道路桥梁与渡河工程等专业
检测工程师,正式,建筑工程,济南市,道路桥梁与渡河工程,本科及以上,-
,正式,建筑工程,济南市,土木工程,本科及以上,-
,正式,建筑工程,济南市,结构工程,本科及以上,-
,正式,建筑工程,济南市,桥梁与隧道工程,本科及以上,-
试验员,正式,化工/材料,济南市,材料科学与工程,本科及以上,工程试验室各类建筑材料的试验分析工作
,正式,化工/材料,济南市,环境工程,本科及以上,工程试验室各类建筑材料的试验分析工作
俄语外贸专员,正式,贸易/外贸专员/助理,济南市,俄语,大专及以上,1.专科及以上学历，俄语相关专业。有同岗位半年以上工作经验者优先考虑2.有一定的俄语听说读写能力，能够与国际客户熟练的沟通交流。3.为人正直、诚信、敬业，具备良好的团队合作精神和较强的学习能力。
海外俄语外贸业务员,正式,贸易/外贸专员/助理,山东省 济南市,俄语,大专及以上,1、专科及以上学历，有机械产品出口经验优先；2、俄语相关专业，口语熟练沟通无障碍；3、思路清晰，逻辑能力强，具备良好的沟通表达能力；4、学习能力强，具有团队精神和责任心，吃苦耐劳；5、接受长、短期外派；6、欢迎应届生投递简历。
服务顾问（2024届校招）,正式,售后咨询,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械类,本科及以上,1.2024届本科及以上学历毕业生，汽车相关专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售后咨询,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械工程,本科及以上,1.2024届本科及以上学历毕业生，汽车相关专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售后咨询,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械设计制造及其自动化,本科及以上,1.2024届本科及以上学历毕业生，汽车相关专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售后咨询,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,车辆工程,本科及以上,1.2024届本科及以上学历毕业生，汽车相关专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售后咨询,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,汽车服务工程,本科及以上,1.2024届本科及以上学历毕业生，汽车相关专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
汽车维修（2024届校招）,正式,售前/售后技术支持工程师,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械工程,本科及以上,1.2024届本科及以上学历毕业生，机械类、汽车类专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售前/售后技术支持工程师,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械设计制造及其自动化,本科及以上,1.2024届本科及以上学历毕业生，机械类、汽车类专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售前/售后技术支持工程师,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,车辆工程,本科及以上,1.2024届本科及以上学历毕业生，机械类、汽车类专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,售前/售后技术支持工程师,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,汽车服务工程,本科及以上,1.2024届本科及以上学历毕业生，机械类、汽车类专业优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
管培生-人力资源方向（2024届校招）,正式,储备干部培训生,山东省 济南市,人力资源管理,本科及以上,1.2024届本科及以上学历毕业生，人力资源管理相关专业；2.具有较强的责任心、执行力、进取心，良好的团队合作意识、人际沟通能力、学习与分析能力；3.具有良好的综合素质和培养潜力，热爱且愿意长期在汽车行业发展。
管培生-售后服务方向（2024届校招）,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,信息管理与信息系统,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械设计制造及其自动化,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,车辆工程,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,汽车服务工程,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
管培生-新媒体运营方向（2024届校招）,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,不限专业,本科及以上,1.2024届本科及以上学历毕业生；2.熟悉新媒体平台（抖音、小红书、视频号等）的运营机制，熟悉平台短视频及直播规则，有微博、抖音等社媒平台运营工作经验者优先； 3.熟练使用视频剪辑、图片制作等工具；4.具有较强的责任心、执行力、进取心，良好的团队意识、人际沟通能力、学习与分析能力。 
管培生-汽车销售方向（2024届校招）,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,信息管理与信息系统,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,市场营销,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械设计制造及其自动化,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,车辆工程,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
,正式,储备干部培训生,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,汽车服务工程,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.愿意从基层岗位做起，具有良好的综合素质和培养潜力。
销售顾问（2024届校招）,正式,销售顾问,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,信息管理与信息系统,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,销售顾问,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,市场营销,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,销售顾问,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,机械设计制造及其自动化,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,销售顾问,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,车辆工程,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
,正式,销售顾问,山东省 济南市 青岛市 淄博市 枣庄市 烟台市 潍坊市 济宁市 临沂市 聊城市 菏泽市,汽车服务工程,本科及以上,1.2024届本科及以上学历毕业生，汽车类、营销类、管理类专业学生优先；2.具有较强的责任心、执行力、进取心，良好的人际沟通能力、团队合作意识和客户服务意识；3.有驾照且能熟练驾驶者优先。
EHS Engineer EHS工程师,正式,环境/健康/安全经理/主管（EHS）,山东省 济南市,安全工程,本科及以上,"任职资格1.Bachelor degree or above;
2.Proficient in using office software;
3.Strong team spirit, able to withstand work pressure and goal orientation;
4.Good language expression, learning innovation and clear thinking;
5.Strong initiative, with good communication and coordination skills;
6.Proficient in English, able to conduct daily oral communication and email communication.
1. 本科及以上学历；
2. 熟练应用办公软件；
3.较强的团队精神，能承受工作压力和目标导向；
4.良好的语言表达、学习创新，思路清晰明确；
5.主动性强，具备良好的沟通、协调能力；
6. 英语熟练，能进行日常的口语交流和邮件交流。"
Extrusion Engineer 挤出生产工程师,正式,产品工艺/制程工程师,山东省 济南市,机械工程,本科及以上,"1.Bachelor degree or above;
2.Proficient in using office software;
3.Strong team spirit, able to withstand work pressure and goal orientation;
4.Good language expression, learning innovation and clear thinking;
5.Strong initiative, with good communication and coordination skills;
6.Proficient in English, able to conduct daily oral communication and email communication.
1.本科及以上学历；
2.熟练应用办公软件；
3.较强的团队精神，能承受工作压力和目标导向；
4.良好的语言表达、学习创新，思路清晰明确；
5.主动性强，具备良好的沟通、协调能力；
6. 英语熟练，能进行日常的口语交流和邮件交流。"
,正式,产品工艺/制程工程师,山东省 济南市,机械设计制造及其自动化,本科及以上,"1.Bachelor degree or above;
2.Proficient in using office software;
3.Strong team spirit, able to withstand work pressure and goal orientation;
4.Good language expression, learning innovation and clear thinking;
5.Strong initiative, with good communication and coordination skills;
6.Proficient in English, able to conduct daily oral communication and email communication.
1.本科及以上学历；
2.熟练应用办公软件；
3.较强的团队精神，能承受工作压力和目标导向；
4.良好的语言表达、学习创新，思路清晰明确；
5.主动性强，具备良好的沟通、协调能力；
6. 英语熟练，能进行日常的口语交流和邮件交流。"
,正式,产品工艺/制程工程师,山东省 济南市,材料成型及控制工程,本科及以上,"1.Bachelor degree or above;
2.Proficient in using office software;
3.Strong team spirit, able to withstand work pressure and goal orientation;
4.Good language expression, learning innovation and clear thinking;
5.Strong initiative, with good communication and coordination skills;
6.Proficient in English, able to conduct daily oral communication and email communication.
1.本科及以上学历；
2.熟练应用办公软件；
3.较强的团队精神，能承受工作压力和目标导向；
4.良好的语言表达、学习创新，思路清晰明确；
5.主动性强，具备良好的沟通、协调能力；
6. 英语熟练，能进行日常的口语交流和邮件交流。"
